Step,Value53,Value44,Value35,bl_Value53,bl_Value44,bl_Value35
260096,11.38760853,12.66116238,13.1457119,10.82739067,11.9172678,12.37276173
262144,11.27947521,12.56525707,13.02998161,10.80252743,11.92237854,12.34824753
264192,11.33060932,12.61527348,13.14166069,10.7819128,11.90446663,12.40491295
266240,11.36037254,12.70548725,13.13756657,10.82939434,12.00899029,12.38955975
268288,11.26710796,12.52332497,13.06172752,10.73537445,11.83793259,12.33917999
270336,11.13239574,12.53200722,13.08681965,10.61687946,11.83906746,12.34424877
272384,11.20174885,12.62543583,13.17956924,10.65493298,11.89358139,12.3688736
274432,11.32513905,12.68880844,13.15888023,10.80630398,11.9667244,12.37895775
276480,11.38361263,12.72869396,13.17974377,10.857481,12.01868153,12.41324711
278528,11.45923328,12.72498512,13.16226101,10.91122246,11.9976778,12.39042854
280576,11.34867668,12.69920349,13.18757343,10.78373051,11.93133259,12.37484074
282624,11.29334354,12.64717197,13.13637543,10.7528286,11.90596199,12.35460567
284672,11.22782326,12.54855537,13.08856773,10.71188259,11.83865356,12.3394928
286720,11.34236717,12.7307539,13.18486023,10.81302071,12.00801373,12.43630123
288768,11.39008808,12.71805382,13.1792717,10.85504532,11.96674156,12.38795853
290816,11.4093132,12.76326084,13.22151089,10.88287926,12.01455021,12.43850613
292864,11.44859028,12.79645252,13.24151993,10.87863255,12.01049614,12.40991116
294912,11.44129658,12.85660744,13.28688622,10.87981415,12.05328083,12.42805576
296960,11.33984566,12.61170006,13.16357136,10.79615688,11.84385204,12.34454727
299008,11.43176651,12.77530479,13.18906307,10.88000107,11.98254967,12.37353516
301056,11.36307812,12.67090225,13.18888187,10.86671257,11.90933228,12.37586784
303104,11.35022736,12.73099613,13.24683094,10.81523895,11.92962933,12.4006424
305152,11.25789928,12.77662754,13.20254421,10.71740437,11.96030903,12.37053204
307200,11.28014374,12.73047543,13.18917847,10.73736477,11.92199707,12.36999798
309248,11.28307152,12.64893627,13.20608234,10.75145817,11.84441185,12.37776279
311296,11.33939934,12.77489662,13.2595377,10.77753353,11.94268036,12.38790894
313344,11.44118023,12.85544014,13.27013302,10.88157654,12.01895142,12.39766598
